Dates,Open,High,Low,Close,Volume
2019-10-14,628016.23884000,636638.21535000,622533.87300000,633553.24620000,29810.66325300
2019-10-15,633451.55226000,637712.07300000,613958.19000000,619216.67739000,32773.06247600
2019-10-16,619217.43630000,620876.41356000,600829.04700000,606501.14034000,34733.59396600
2019-10-17,606750.06282000,616608.30372000,601742.01573000,612484.38678000,29656.94915800
2019-10-18,612494.25261000,615855.46500000,593164.81491000,603106.53591000,31353.18141600
2019-10-19,603097.42899000,614572.90710000,597028.42572000,603182.42691000,26627.88938800
2019-10-20,603323.58417000,629667.62700000,597262.17000000,624078.25485000,34286.45265400
2019-10-21,624078.25485000,632399.70300000,617906.79873000,622099.01757000,30448.67953900
2019-10-22,622099.77648000,629742.75909000,607128.00000000,608645.82000000,34651.82866300
2019-10-23,608650.37346000,610739.65269000,554004.30000000,566649.25842000,63897.45709800
2019-10-24,566789.65677000,569461.77888000,556887.39909000,562535.20731000,32714.38326500
2019-10-25,562535.20731000,667764.90900000,558633.65100000,656838.12282000,90748.21817400
2019-10-26,656903.38908000,786989.67000000,642825.60858000,700473.93000000,162588.58541300
2019-10-27,700473.93000000,743350.82718000,688660.73694000,723235.91763000,93833.54160400
2019-10-28,723106.90293000,751480.27110000,695161.56000000,698587.27974000,80174.21732300
2019-10-29,698534.91495000,724759.05000000,688483.15200000,713953.68942000,64158.46244600
2019-10-30,713953.68942000,714122.16744000,683095.64991000,694760.85552000,55241.78643400
2019-10-31,694707.73182000,713754.85500000,676416.48300000,693708.24735000,54376.02490200
2019-11-01,693709.00626000,704192.58900000,685295.73000000,700596.11451000,43594.81411500
2019-11-02,700580.17740000,711382.50234000,697150.66311000,704990.96232000,28923.06082800
2019-11-03,705016.00635000,710534.79987000,688038.43074000,697795.73661000,27894.37827900
2019-11-04,697928.54586000,722002.68888000,691810.21344000,712870.72485000,45894.45627700
2019-11-05,712798.62840000,717545.61045000,696357.60216000,706443.51606000,45935.87366500
2019-11-06,706372.93743000,716480.10081000,701992.50891000,708749.84355000,37336.17037200
2019-11-07,708758.19156000,711478.12500000,690683.99100000,699426.63420000,39117.47085300
